txId,class
100000,2
100001,2
100002,unknown
100003,2
100004,2
100005,1
100006,2
100007,2
100008,unknown
100009,2
100010,unknown
100011,2
100012,unknown
100013,2
100014,2
100015,2
100016,2
100017,2
100018,2
100019,unknown
100020,2
100021,1
100022,unknown
100023,2
100024,2
100025,2
100026,unknown
100027,2
100028,2
100029,2
100030,2
100031,2
100032,2
100033,2
100034,2
100035,1
100036,2
100037,1
100038,unknown
100039,1
100040,2
100041,unknown
100042,2
100043,1
100044,2
100045,unknown
100046,2
100047,2
100048,2
100049,2
100050,2
100051,2
100052,2
100053,2
100054,1
100055,2
100056,2
100057,2
100058,2
100059,1
100060,2
100061,2
100062,2
100063,2
100064,1
100065,2
100066,2
100067,unknown
100068,2
100069,unknown
100070,2
100071,1
100072,unknown
100073,2
100074,unknown
100075,2
100076,unknown
100077,2
100078,1
100079,2
100080,1
100081,2
100082,unknown
100083,unknown
100084,2
100085,2
100086,2
100087,2
100088,2
100089,unknown
100090,2
100091,unknown
100092,1
100093,2
100094,unknown
100095,unknown
100096,2
100097,2
100098,unknown
100099,2
100100,unknown
100101,unknown
100102,2
100103,unknown
100104,2
100105,unknown
100106,unknown
100107,unknown
100108,2
100109,2
100110,unknown
100111,2
100112,2
100113,2
100114,2
100115,unknown
100116,unknown
100117,unknown
100118,1
100119,2
100120,2
100121,2
100122,2
100123,unknown
100124,2
100125,1
100126,2
100127,2
100128,2
100129,unknown
100130,1
100131,2
100132,unknown
100133,2
100134,unknown
100135,2
100136,1
100137,2
100138,2
100139,2
100140,2
100141,2
100142,2
100143,2
100144,unknown
100145,2
100146,2
100147,2
100148,1
100149,2
100150,2
100151,unknown
100152,2
100153,2
100154,unknown
100155,unknown
100156,unknown
100157,unknown
100158,2
100159,2
100160,1
100161,unknown
100162,2
100163,2
100164,2
100165,unknown
100166,unknown
100167,2
100168,2
100169,2
100170,1
100171,unknown
100172,2
100173,2
100174,2
100175,2
100176,2
100177,2
100178,1
100179,2
100180,unknown
100181,1
100182,1
100183,2
100184,1
100185,2
100186,2
100187,unknown
100188,unknown
100189,2
100190,2
100191,1
100192,2
100193,2
100194,2
100195,1
100196,2
100197,unknown
100198,2
100199,unknown
100200,2
100201,unknown
100202,2
100203,unknown
100204,2
100205,2
100206,unknown
100207,2
100208,1
100209,1
100210,2
100211,unknown
100212,2
100213,2
100214,unknown
100215,unknown
100216,2
100217,unknown
100218,unknown
100219,2
100220,1
100221,1
100222,2
100223,2
100224,unknown
100225,2
100226,2
100227,2
100228,2
100229,2
100230,2
100231,unknown
100232,unknown
100233,1
100234,2
100235,unknown
100236,1
100237,unknown
100238,2
100239,2
100240,2
100241,1
100242,2
100243,unknown
100244,2
100245,1
100246,2
100247,2
100248,unknown
100249,2
100250,2
100251,2
100252,unknown
100253,2
100254,2
100255,2
100256,2
100257,2
100258,2
100259,1
100260,2
100261,2
100262,2
100263,1
100264,2
100265,unknown
100266,unknown
100267,2
100268,unknown
100269,unknown
100270,2
100271,unknown
100272,2
100273,2
100274,2
100275,1
100276,2
100277,2
100278,2
100279,2
100280,1
100281,2
100282,2
100283,2
100284,2
100285,2
100286,1
100287,1
100288,2
100289,2
100290,unknown
100291,2
100292,2
100293,2
100294,1
100295,unknown
100296,unknown
100297,unknown
100298,2
100299,1
100300,2
100301,2
100302,2
100303,1
100304,2
100305,2
100306,1
100307,2
100308,unknown
100309,2
100310,2
100311,2
100312,unknown
100313,2
100314,1
100315,2
100316,2
100317,unknown
100318,unknown
100319,2
100320,1
100321,2
100322,unknown
100323,2
100324,unknown
100325,2
100326,2
100327,unknown
100328,unknown
100329,unknown
100330,2
100331,2
100332,2
100333,2
100334,2
100335,1
100336,2
100337,2
100338,2
100339,2
100340,unknown
100341,2
100342,2
100343,1
100344,2
100345,2
100346,unknown
100347,unknown
100348,2
100349,2
100350,2
100351,unknown
100352,unknown
100353,2
100354,2
100355,2
100356,unknown
100357,2
100358,2
100359,unknown
100360,unknown
100361,unknown
100362,2
100363,unknown
100364,unknown
100365,1
100366,unknown
100367,2
100368,2
100369,1
100370,unknown
100371,2
100372,2
100373,2
100374,2
100375,2
100376,1
100377,2
100378,2
100379,unknown
100380,2
100381,1
100382,1
100383,2
100384,2
100385,2
100386,unknown
100387,1
100388,2
100389,2
100390,2
100391,1
100392,2
100393,2
100394,unknown
100395,2
100396,1
100397,2
100398,unknown
100399,2
100400,2
100401,2
100402,2
100403,2
100404,2
100405,1
100406,1
100407,2
100408,unknown
100409,2
100410,2
100411,2
100412,2
100413,2
100414,2
100415,1
100416,2
100417,unknown
100418,2
100419,2
100420,2
100421,unknown
100422,2
100423,unknown
100424,unknown
100425,1
100426,2
100427,2
100428,2
100429,unknown
100430,2
100431,2
100432,2
100433,1
100434,2
100435,2
100436,1
100437,1
100438,2
100439,unknown
100440,1
100441,2
100442,1
100443,2
100444,2
100445,2
100446,2
100447,1
100448,2
100449,unknown
100450,2
100451,2
100452,unknown
100453,1
100454,2
100455,2
100456,unknown
100457,1
100458,2
100459,2
100460,unknown
100461,unknown
100462,2
100463,2
100464,2
100465,2
100466,unknown
100467,1
100468,2
100469,2
100470,2
100471,1
100472,1
100473,2
100474,2
100475,2
100476,2
100477,1
100478,1
100479,2
100480,1
100481,2
100482,unknown
100483,2
100484,unknown
100485,2
100486,2
100487,unknown
100488,2
100489,2
100490,unknown
100491,unknown
100492,unknown
100493,2
100494,unknown
100495,2
100496,2
100497,2
100498,2
100499,1
100500,2
100501,unknown
100502,1
100503,unknown
100504,2
100505,2
100506,2
100507,unknown
100508,unknown
100509,unknown
100510,2
100511,2
100512,2
100513,1
100514,2
100515,2
100516,2
100517,2
100518,2
100519,unknown
100520,2
100521,2
100522,2
100523,unknown
100524,unknown
100525,2
100526,2
100527,unknown
100528,unknown
100529,1
100530,2
100531,2
100532,2
100533,2
100534,2
100535,2
100536,2
100537,unknown
100538,unknown
100539,2
100540,1
100541,2
100542,unknown
100543,unknown
100544,unknown
100545,2
100546,2
100547,unknown
100548,unknown
100549,unknown
100550,2
100551,2
100552,unknown
100553,2
100554,2
100555,1
100556,2
100557,2
100558,unknown
100559,2
100560,unknown
100561,2
100562,2
100563,1
100564,unknown
100565,unknown
100566,2
100567,2
100568,2
100569,2
100570,2
100571,unknown
100572,1
100573,2
100574,2
100575,1
100576,2
100577,2
100578,2
100579,2
100580,2
100581,1
100582,2
100583,1
100584,2
100585,2
100586,1
100587,unknown
100588,1
100589,2
100590,2
100591,unknown
100592,2
100593,2
100594,unknown
100595,2
100596,2
100597,2
100598,2
100599,2
100600,unknown
100601,2
100602,2
100603,2
100604,2
100605,2
100606,2
100607,2
100608,2
100609,unknown
100610,1
100611,unknown
100612,2
100613,2
100614,2
100615,2
100616,2
100617,unknown
100618,1
100619,2
100620,unknown
100621,2
100622,unknown
100623,2
100624,unknown
100625,1
100626,2
100627,2
100628,2
100629,2
100630,unknown
100631,1
100632,unknown
100633,2
100634,unknown
100635,unknown
100636,1
100637,1
100638,unknown
100639,2
100640,2
100641,2
100642,2
100643,2
100644,2
100645,1
100646,2
100647,1
100648,unknown
100649,2
100650,2
100651,2
100652,2
100653,2
100654,2
100655,2
100656,2
100657,2
100658,2
100659,unknown
100660,2
100661,2
100662,2
100663,2
100664,unknown
100665,2
100666,2
100667,2
100668,2
100669,2
100670,1
100671,1
100672,2
100673,2
100674,2
100675,1
100676,unknown
100677,2
100678,2
100679,2
100680,1
100681,2
100682,1
100683,unknown
100684,2
100685,2
100686,2
100687,2
100688,2
100689,1
100690,2
100691,2
100692,2
100693,1
100694,unknown
100695,2
100696,unknown
100697,2
100698,unknown
100699,2
100700,2
100701,1
100702,2
100703,unknown
100704,unknown
100705,2
100706,2
100707,unknown
100708,2
100709,2
100710,2
100711,unknown
100712,unknown
100713,2
100714,2
100715,2
100716,unknown
100717,unknown
100718,2
100719,1
100720,unknown
100721,2
100722,2
100723,2
100724,1
100725,2
100726,2
100727,unknown
100728,2
100729,2
100730,2
100731,2
100732,unknown
100733,unknown
100734,2
100735,2
100736,2
100737,2
100738,1
100739,unknown
100740,2
100741,2
100742,2
100743,2
100744,2
100745,2
100746,1
100747,2
100748,2
100749,2
100750,unknown
100751,2
