txId1,txId2
100000,101638
100002,100679
100002,100374
100002,100254
100003,101172
100004,100922
100004,100107
100005,100365
100005,101863
100006,100705
100006,101541
100006,100389
100007,100734
100007,100559
100007,101586
100008,100797
100008,100015
100010,100253
100010,101556
100011,100909
100011,101074
100011,100622
100012,100519
100012,100797
100012,101604
100013,100588
100013,101029
100013,101344
100014,100383
100014,101991
100014,100094
100015,101313
100015,100174
100015,101434
100016,100776
100016,100997
100017,101101
100017,100436
100020,101227
100020,101857
100021,101875
100023,100020
100024,100081
100025,101955
100025,101915
100025,100820
100027,100551
100027,100409
100028,101208
100028,101589
100028,100261
100029,100064
100029,100506
100030,101123
100030,101338
100031,101922
100031,100741
100031,100021
100032,100665
100032,101089
100032,100293
100033,101833
100033,100257
100034,100479
100034,100463
100034,101386
100036,101534
100036,100419
100038,101083
100038,100531
100041,100096
100041,101067
100042,100561
100042,101064
100042,101047
100043,101847
100045,101212
100045,101263
100046,101921
100046,101975
100047,100347
100047,101628
100048,101353
100048,100687
100048,100368
100049,100152
100049,101611
100050,101661
100052,100977
100052,101903
100052,100450
100053,100333
100053,101285
100054,100134
100054,101925
100054,100444
100057,100708
100057,100904
100057,100545
100058,101335
100059,101397
100062,100519
100062,101867
100062,100360
100063,100818
100064,101189
100065,100286
100066,100124
100067,101442
100067,100080
100067,101513
100068,101000
100068,100520
100068,101871
100069,101720
100069,101827
100071,101155
100071,100255
100072,101368
100072,101994
100072,101013
100073,101562
100073,101121
100075,100539
100076,100584
100077,100038
100078,101076
100078,100245
100079,101950
100080,101594
100083,101490
100083,100099
100083,101016
100084,101332
100084,101369
100084,100484
100085,101872
100087,101962
100088,100348
100088,100718
100088,101306
100090,100294
100090,100432
100090,101675
100091,101927
100091,100764
100091,101182
100092,101771
100092,101724
100094,101559
100095,100738
100096,101197
100096,100745
100096,101457
100097,100334
100098,101746
100098,100851
100099,100372
100099,100267
100100,101621
100101,100837
100101,101197
100102,101357
100103,100702
100105,100753
100105,100360
100107,101894
100107,100724
100108,100540
100108,101233
