txId,time_step,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127,feat_128,feat_129,feat_130,feat_131,feat_132,feat_133,feat_134,feat_135,feat_136,feat_137,feat_138,feat_139,feat_140,feat_141,feat_142,feat_143,feat_144,feat_145,feat_146,feat_147,feat_148,feat_149,feat_150,feat_151,feat_152,feat_153,feat_154,feat_155,feat_156,feat_157,feat_158,feat_159,feat_160,feat_161,feat_162,feat_163,feat_164,feat_165
100000,18,0.87662,1.259576,1.09585,-0.038533,0.414759,0.820019,0.646635,0.676437,1.277346,-0.132704,0.304821,0.445625,0.10535,0.219295,0.729305,1.177179,-0.0146,0.884382,1.044502,0.541975,0.945503,0.622301,0.371288,0.259051,0.925585,0.384468,0.928243,1.136681,0.75217,1.402705,1.400959,0.96914,0.800541,-0.116334,-0.149995,0.391776,0.852263,1.2692,0.914026,0.812309,-0.833791,1.219197,-0.188955,0.201721,0.978528,0.752859,0.345359,0.145199,1.1903,0.376521,-0.121351,1.24225,0.91053,0.236535,0.52288,0.217103,0.695813,1.283599,0.257778,0.686645,1.037303,0.622117,0.434109,0.99685,-0.211052,0.452145,0.710305,1.155715,0.266747,0.533412,0.263915,-0.436597,0.607659,0.429526,0.385577,1.130995,1.238299,-0.201607,0.401643,0.00663,0.890297,-0.510954,1.914873,0.979079,1.048087,0.638725,-0.39019,0.771884,0.844552,0.317697,-0.007676,0.098408,1.04849,0.229775,0.678513,-0.525903,0.210493,0.498023,0.379287,1.227206,0.050532,0.6558,0.149798,0.523443,0.885144,1.402618,0.618954,0.349602,-0.709517,0.647336,0.009076,1.152379,1.036921,0.926832,0.103445,0.755309,1.061796,1.256108,1.65484,1.591899,0.078328,0.131925,0.265392,0.964936,0.909589,1.5054,0.519142,0.627222,0.973028,0.417984,0.519464,0.498276,-0.311462,1.213512,0.517595,1.119305,1.124266,0.886439,0.504173,-0.070039,0.484481,1.723688,0.347339,0.627946,-0.162042,0.486238,0.111696,0.374231,0.176529,1.045174,0.279476,0.605032,0.784513,1.232418,0.68636,0.551607,0.57095,0.557037,0.434533,0.717806,0.654552,0.311796,1.128323,0.500061,1.169802
100001,37,-0.636803,-0.968752,-0.378505,0.143442,-0.055227,-0.778467,-0.056945,-0.355462,-0.590876,-0.875788,-1.05706,0.28435,-0.164909,-0.389719,-0.693382,-0.242478,0.113696,-0.262246,-0.219362,-1.455605,-0.227895,0.34349,-0.050539,-0.324695,-0.6434,-0.824623,-0.974314,-0.2446,-0.444413,-0.456674,-0.832016,-0.941617,-0.147077,0.246698,-1.275632,-0.448115,-0.436666,-1.347155,0.261037,-0.375186,-0.864727,-0.731542,-1.229429,-0.311683,-1.1851,-0.788258,-0.437756,-0.429913,-0.294877,-0.48077,-0.641522,-0.527301,-0.317158,-1.575061,-0.301833,-0.632753,-0.498152,-1.439964,-0.512899,-0.294428,-0.386608,-0.136314,-0.852972,0.141184,-0.697861,-0.590144,-0.53265,0.171954,-0.104379,-0.86487,-0.63866,-0.515205,0.277654,-0.619083,-0.10353,0.02513,0.062733,-1.573683,-0.159507,-0.401994,-0.491777,-0.930664,-0.908709,0.037581,-0.099916,-0.73126,-0.474752,-0.574905,-0.311489,-0.450195,-0.055618,-1.044198,-0.22786,-0.930295,0.893933,-0.249485,-1.03934,-0.77871,-1.017997,-0.252238,-0.562119,-0.182399,-0.736511,0.168695,-0.990983,-0.237201,-0.127814,-0.352707,-0.02065,-0.839548,-1.369335,-0.844928,-0.47782,-0.329589,-0.552982,-1.089861,-1.167386,-0.031627,-0.341714,0.486004,0.558218,-0.180123,-0.006147,-0.641287,-1.081673,0.454034,0.313712,-0.567783,-0.729698,0.00285,-0.357168,-0.966273,-0.636646,-0.005027,-0.341174,0.756942,-1.011156,-0.009037,-0.348175,-0.771844,-1.139801,-0.853307,0.04451,0.487762,-1.421006,-0.468642,-1.605179,-0.440114,-0.168161,-0.368654,-0.76183,-0.732741,-0.300289,0.311866,-0.863838,-1.097708,-0.072797,-0.500304,-0.840888,-0.045124,0.189249,-0.568861,-0.370352,-0.792882,-0.403806
100002,23,0.395456,-0.426802,-0.33381,-0.286147,-0.024298,0.417102,-1.424816,-0.572481,0.262049,-1.580479,0.388406,-1.59503,-0.709116,0.551094,0.437309,0.11388,0.712397,-0.465395,-0.203764,-1.182317,-0.119447,-0.70804,0.186552,-0.934064,-0.477522,-0.782018,-0.619617,-0.449605,-0.470277,0.112853,-0.722424,-0.599261,-1.250003,-0.669759,-0.860065,0.226291,-0.127742,-0.651726,-0.062079,0.018535,-1.093161,-0.575901,-0.033345,-0.867769,-0.165985,-0.515978,-0.191905,-1.484218,0.126924,-0.918219,-1.411115,-0.758623,-0.722984,-0.455762,-0.446382,-0.563995,0.07371,-1.081159,-0.793371,-0.969359,-0.32427,-0.314164,0.109272,0.283,-0.960835,-0.340396,-0.257903,-1.146717,-0.510775,-0.913246,0.352271,-0.43681,-1.189522,-0.389287,-0.113167,-0.07184,-0.384873,-1.403792,-0.290691,0.02192,-0.213619,-0.667583,-0.681504,-0.635274,-0.993233,-0.414551,0.287831,0.391054,-0.413115,-0.412334,-0.677663,-0.719391,-0.301217,0.140938,-0.599838,-0.082285,-0.32468,-0.122318,-0.892191,-0.206569,-1.145841,0.228575,-0.493279,0.559999,-0.767499,-1.047693,-0.960336,-1.383885,-0.470436,-1.460818,-0.758145,-0.464765,-1.009039,-0.463906,-0.065949,-0.994795,-1.090544,-1.137841,-0.535819,-0.473067,-0.243738,-0.530788,-0.053985,-0.706489,0.122254,-0.208162,-0.165118,-0.712179,-1.176926,0.028393,-0.241232,-0.942082,-0.579295,-0.302308,0.060767,0.105236,-0.814974,-0.772985,-1.370633,-0.394297,-0.929017,0.023086,-0.424912,-0.420761,-1.421813,0.056773,-0.592459,-0.451965,-1.070549,-0.723401,-0.655408,-0.34,0.082983,0.002926,-0.360074,-0.661332,-0.901485,-0.1566,0.041003,0.042974,0.059264,0.051133,-0.357766,-0.549902,-0.488293
100003,30,1.001413,0.39122,1.135311,0.11083,1.525711,0.431406,1.857958,-0.187654,1.097426,-0.168525,0.802643,1.814897,1.044412,0.678834,0.834493,0.786638,0.610423,1.018165,0.721445,1.01895,0.058289,0.689163,1.213366,1.5628,1.448342,0.272945,0.732279,0.184813,1.149055,1.423821,0.468628,0.700385,0.353942,0.402439,1.258083,1.238955,0.365493,1.054696,0.383485,0.958662,0.528907,-0.140335,0.133157,0.683144,1.420523,0.406651,1.368125,0.953313,-0.189674,0.515877,0.590146,-0.072013,0.498077,1.3038,0.951593,1.168717,0.68988,0.116375,0.681229,-0.034493,1.451216,0.369467,0.720545,0.920266,1.191492,0.243474,0.087673,1.403817,0.230789,-0.263556,0.853045,0.279757,0.406342,0.681482,1.815776,0.549482,1.186816,0.650376,-0.001034,0.425788,0.254142,0.205397,0.664288,0.181764,0.685012,0.627188,1.052862,-0.199109,0.063408,0.082201,0.441391,0.782943,0.994868,0.118867,1.001419,0.682975,1.215907,0.518964,0.11881,1.063401,0.693568,0.340425,0.859452,0.401483,0.237023,0.215166,0.497127,1.280497,0.635052,0.320199,1.089565,0.522348,0.987747,0.570301,0.220105,0.593545,-0.577825,0.528714,0.345149,0.619654,0.247185,-0.066181,0.197522,-0.503172,-0.153286,0.856383,0.284537,0.376221,0.973795,0.580607,0.397293,0.809066,0.695666,0.334209,1.807426,0.107023,0.011534,0.711224,0.695632,0.526245,1.205925,-0.051626,1.740807,0.632944,1.642921,0.787009,0.769198,-0.006595,0.682431,0.536919,0.384157,1.105795,-0.482947,0.973292,0.841052,0.163857,0.46333,0.077167,0.25426,0.727066,0.165587,1.00097,0.42003,0.19902,0.369034
100004,48,1.301756,0.530237,0.528443,1.129724,0.987373,0.53024,0.712938,0.164849,1.222235,0.680043,0.830765,0.709899,1.202539,0.928671,0.658206,0.847309,1.196404,0.97762,0.161361,0.916863,0.493439,1.074548,1.042154,1.039515,1.122951,0.916417,0.94322,0.984485,0.15823,1.313456,-0.200133,0.284828,1.016343,0.637395,1.284984,0.719748,1.423574,0.182471,1.063876,1.432125,0.285213,0.715548,0.737135,0.905443,1.548926,1.232145,0.295502,1.649975,0.917123,1.090817,0.21622,0.83209,0.497286,0.270108,0.742335,0.507085,2.481635,-0.037422,1.166224,1.359369,0.6977,0.437512,1.046172,1.040969,0.987444,0.309531,1.114822,0.542528,0.375192,0.815572,0.670131,1.131027,1.006966,1.448701,1.379325,1.423448,0.106042,1.815335,0.813855,0.644374,0.846061,0.113191,0.725865,0.266458,0.811673,1.180152,0.932143,1.086769,1.108786,1.22837,0.414653,1.500084,0.933757,1.046369,0.057524,0.775651,0.88356,0.507803,1.001489,0.939869,0.60054,1.489224,0.570723,1.465583,1.762925,0.60331,1.561395,0.311673,1.097179,0.26257,0.902487,1.006437,1.063047,0.134695,0.322424,0.930995,0.95043,0.945933,-0.16507,0.335456,1.550186,0.8027,0.842187,0.663676,-0.135805,0.162844,0.453077,1.166891,0.399189,0.359218,0.850713,0.845872,0.321556,1.727307,0.393276,1.173236,0.762049,0.076519,1.466906,0.435945,1.039233,-0.28361,0.993464,-0.289647,1.820122,0.997795,0.105679,1.553075,1.863164,1.716216,1.730575,0.693257,1.006672,0.93542,0.617046,0.880939,0.759645,1.430924,1.602725,1.000256,0.769555,0.883773,0.421856,0.446795,0.454579
100005,22,-0.517478,-0.043038,0.573718,0.110227,-0.552686,0.369067,0.177888,0.916977,0.569374,1.792907,-0.547897,0.264212,-0.258278,0.852425,0.685969,0.652068,-0.113616,-0.097526,-0.73979,1.1298,0.529159,0.14462,0.741807,0.650507,0.762682,-0.536719,-0.081868,0.372771,0.45276,0.753667,-0.229268,0.338654,1.377726,0.621011,0.710331,0.265456,0.658863,1.177044,0.328371,0.887039,-0.16252,0.570099,0.727158,-0.100952,0.824112,-0.062574,-0.12757,0.274453,1.241044,0.429626,0.742942,-0.090849,0.313798,-0.313229,-0.010504,0.69287,0.255851,1.000698,0.173841,0.176082,0.91339,-0.049259,-0.484833,0.925688,0.482144,-0.807548,0.297314,0.073156,1.147469,-0.089446,-0.015334,-0.180151,-0.251978,-0.075198,-0.442913,-0.240549,-0.528243,-0.47359,-0.504788,0.01447,-0.066795,-0.338186,0.514185,0.251012,0.059062,0.043063,1.071489,0.394957,0.512739,-1.01797,-0.051818,-0.810454,0.061947,0.461705,-0.062099,0.534354,-0.236325,0.562951,-0.501755,0.144205,0.484953,0.54301,0.211418,1.244907,0.06784,0.049552,-1.104704,1.159516,0.09055,-0.312958,0.935502,0.892803,0.329212,-0.442411,0.484538,-0.035646,-0.310336,0.796736,-0.791246,0.558631,0.504727,1.300555,0.437636,-0.754166,-0.143011,0.307383,0.452831,0.765458,-0.704788,0.110075,0.75998,1.047034,1.205561,0.07994,0.823852,1.130906,0.874084,0.636892,0.688948,-0.119893,-0.448575,0.766474,0.101516,0.260983,-0.01431,0.078596,0.391424,-0.23588,0.3093,0.398077,0.236372,-0.096765,0.66836,1.211368,-0.025572,0.892281,0.719682,-1.051576,-0.105547,-0.042871,0.665935,0.369294,0.512249,0.593189,-0.174409
100006,39,-0.102343,-0.824154,1.224056,0.004783,-0.403014,0.232306,-0.63055,-0.857326,-0.546194,0.018747,0.784639,0.088602,-0.726661,-0.318511,1.343903,0.548139,-0.122041,-0.000825,-0.303421,0.104362,-0.271043,-0.627442,0.611933,-0.148886,-0.120487,-0.098342,0.185872,-0.289179,0.043775,0.429149,0.138777,-0.507568,0.438276,-0.411148,0.031858,-0.677454,-0.606648,0.542838,-0.471035,-0.302094,0.607281,1.703506,0.27902,0.229276,-0.504849,0.541364,0.422084,-1.077872,0.298728,-0.197275,0.181504,0.417762,0.42517,-0.751525,-0.476479,-0.56752,0.385653,-0.238439,0.496726,-0.876799,0.303651,0.475486,0.406947,0.381928,-0.513196,0.278617,-0.469873,0.320959,-0.407403,0.162523,-0.51908,-0.128544,-0.502574,-0.220076,0.281089,0.656494,-0.29227,-0.28909,-0.03804,0.383794,0.198461,-0.089657,-0.555794,0.047048,0.055041,0.545242,-0.246106,-0.320972,-0.523948,0.76085,-0.922066,-1.057813,0.444602,0.317227,0.057561,-0.162665,0.142831,-0.362844,-0.086742,-1.036489,0.035002,-0.448262,0.442145,0.230032,0.193742,0.005764,0.450243,-0.865336,-0.392429,-0.614104,-0.592283,-0.715373,-0.312386,-0.494055,-0.716782,0.319663,-0.000969,0.014624,-1.197899,-0.260838,0.181494,0.381599,0.50002,0.671278,0.274735,0.142691,-0.111896,-0.550118,-0.165713,-0.353558,0.010787,-0.240474,0.336754,0.55502,-0.315588,0.142857,-0.267802,-0.068793,-0.232938,0.398236,0.192089,-0.680248,0.240787,-0.372233,0.105653,-0.531961,-0.108901,0.504224,0.409942,-0.583223,-0.411154,-0.199904,0.25618,0.093793,-0.089622,0.267265,1.083137,0.019218,-0.918084,-0.135263,0.17183,-0.603866,-0.064527,0.35118,0.374113
100007,43,-0.327959,-0.051538,-0.258721,0.972724,-0.014087,0.277524,-0.645428,-0.850537,-0.49635,-0.3615,-0.024205,0.292819,-0.088593,0.073369,-0.804516,0.407062,-1.123737,0.673983,0.360772,-0.118508,0.519569,-0.642711,-0.221776,-0.314869,0.276635,-0.297749,0.116494,-0.391998,-0.162689,-1.231486,-0.214429,-0.617759,0.507528,0.239121,-0.980222,-0.122249,0.133834,0.074393,0.495659,-0.099675,-0.874953,0.233946,0.625731,-0.983848,-0.115529,-0.112643,-0.691269,0.426362,-0.442225,-0.608323,-0.67232,0.315519,-0.675573,-0.036876,0.006307,-0.543487,0.004348,-0.172747,0.021483,-0.577114,-0.16636,-0.309875,-0.095573,-0.048383,-0.320539,0.500171,-0.886999,-0.59258,-0.539814,-0.764796,0.001076,0.129741,-1.173522,-1.012415,0.136462,-0.401227,-0.505754,-0.429097,-0.102879,0.069793,-0.057901,0.223084,-0.41812,-0.278247,-0.724236,0.029921,0.186996,-0.643832,0.058564,-0.437489,-0.188372,-0.430905,0.145698,-0.528303,0.099969,-0.867132,-0.655582,-0.257538,-0.294014,0.477708,0.274886,-0.317247,0.637111,-0.749248,-1.052445,0.168442,-0.468316,-0.386136,-0.283662,-0.915342,0.914242,-0.305142,-0.619345,-1.121552,-0.809512,-0.324273,0.305989,0.090523,-1.031164,-0.598568,-0.97024,-0.200084,-0.905032,-0.857209,-0.265448,-0.566561,0.072865,-0.351384,0.093101,0.124455,1.037423,-0.503551,-0.115618,-0.016421,0.005929,-0.017397,-0.337932,-0.022335,-1.087692,-0.043214,-0.239081,-0.588597,0.582491,0.183981,0.210107,0.347692,0.657078,-0.026235,-1.048378,0.125042,0.316219,-0.782784,0.252507,-0.104079,0.393758,-0.327361,0.664379,-0.732851,0.0484,-0.478388,0.70003,-1.077903,0.037158,-0.964388,0.748498
100008,30,-0.976621,-0.636125,-0.124944,0.059735,0.168642,-0.919365,-0.736308,0.426387,0.068856,-0.920575,0.728975,-0.260074,-0.700088,0.032855,0.032255,0.176313,0.346285,-1.05502,-0.194448,0.805702,0.483145,0.30744,-1.064635,0.353621,-0.334457,-0.500493,0.177655,-0.271185,0.019865,-0.045658,0.316998,0.527903,0.346338,-0.258897,0.126143,0.969009,0.150713,-1.044349,0.046959,-0.084193,-0.677238,-0.929196,-0.836033,0.230586,-0.07392,0.585069,0.842631,-0.521967,-0.446957,-0.055135,-0.478796,0.150635,0.140301,-0.564026,-0.650474,0.76327,0.250526,-0.735105,-0.114769,-0.557327,-0.597739,-0.196902,-0.522256,0.35098,-0.110849,-0.406243,-0.253762,-0.414686,-0.645599,-0.9083,0.835608,-0.960501,-0.355671,-0.216668,-0.120286,-0.011058,-0.222021,-0.481767,0.199916,-0.123357,-0.585344,0.223031,0.037542,-0.244348,-0.310628,-0.847202,-0.529199,0.196221,0.231027,-0.494313,0.493807,0.252141,-0.780247,0.451,-0.184031,-0.004343,0.129692,-0.369306,-1.287286,0.211059,-0.038169,0.150618,-1.122447,-0.288003,0.27929,-0.85295,0.433081,-0.25011,-0.092712,-0.363143,-0.442777,-0.014065,-0.234667,-0.338439,-0.446842,0.048063,-0.62579,-0.550901,0.200861,0.322664,-0.23831,0.181286,0.592307,-0.716002,0.54586,-0.137207,0.091056,-0.587489,0.126963,0.199859,-0.125147,-0.178607,0.108474,-0.312288,0.254,-0.86515,0.149618,0.155468,0.353633,-0.876879,0.147249,0.471449,-0.47962,-0.770793,0.168457,-0.071151,-0.281486,-0.358036,-0.564609,-0.945053,-0.1838,-0.048034,-0.009249,0.321956,-0.728157,-0.355827,-0.017048,-0.052181,0.601538,-0.906827,0.815299,0.167206,-0.057114,-0.573237,0.033562
100009,9,0.358737,0.227883,0.145514,1.068511,0.984863,-0.043195,0.454424,0.090779,0.304249,0.41633,0.993955,0.861395,0.442089,0.954486,0.160235,1.153774,1.133226,-0.570262,0.76899,0.249731,0.523918,0.050626,-0.427858,0.255839,0.869962,1.025148,0.699452,1.208869,-0.164535,0.179343,-0.660676,-0.124649,-0.224794,0.197492,0.437467,0.534341,0.712007,0.480414,0.339743,-0.00092,0.291724,0.660962,-0.146203,0.289526,0.314122,-0.267885,2.292219,0.332762,-0.147601,0.563288,-0.472807,1.649807,1.050243,0.109192,0.025128,0.256069,0.035502,1.078286,-0.152486,0.249139,0.207541,0.971856,0.339463,0.594404,0.361628,0.656284,0.654136,0.676937,0.830858,0.334983,0.005609,1.44051,0.066342,0.666769,0.138589,0.033274,-0.023222,0.75143,0.752073,-0.126415,0.328074,1.034515,1.490836,0.866623,1.055753,0.326392,-0.2186,0.805075,-0.086664,0.506075,0.344643,1.13857,0.653243,-0.191375,0.114852,0.506658,-0.064669,0.0744,0.001512,0.16304,0.155088,1.004566,0.296959,0.707487,-0.264105,0.394297,0.637516,0.951878,0.649269,0.115329,0.484822,0.112177,0.182568,0.290719,-0.346463,1.324018,-0.592869,0.779089,0.803733,0.045549,0.285852,0.065678,0.533943,0.454403,0.677071,0.328383,0.928139,0.168697,0.200976,0.646937,0.230582,0.144487,1.031777,0.125653,1.235008,-0.149777,0.458005,0.02196,0.4548,1.643825,0.626325,-0.851969,0.406847,0.552804,0.906811,1.00661,0.63392,0.989942,-0.039529,-0.158212,0.565424,0.755839,0.016455,1.047645,-0.091344,0.492955,-0.024027,-0.075684,0.831505,0.667744,1.048165,0.981675,0.715482,0.48806,0.04807
